"T15_COMPANY_NAME","T15_COMPANY_ADDRESS","T15_COMPANY_CONTACT_NUMBER","T15_COMPANY_FAX","T15_COMPANY_EMAIL","T15_COMPANY_WEBSITE","T15_COMPANY_LOCATION","T15_COMPANY_DEPARTMENT_NAME","T15_COMPANY_OFFICE_NAME"
"AEGON INSURANCE","MAMALLAB_RD,CHENNAI","9786543621",4578567,"AEGON@GMAIL.COM","AEGON_LTD.CO.IN","TAMILNADU","REINSURANCE_DEPT","AEGON_CHENNAI"
"AEGON INSURANCE","MAMALLAB_RD,CHENNAI","9786543621",4578567,"AEGON@GMAIL.COM","AEGON_LTD.CO.IN","KARNATAKA","TECHNICAL_DEPT","AEGON_BANGALORE"
"AVIVA INSURANCE","MANGAL_CROSS,DELHI","9872543621",4503435,"AVIVA@GMAIL.COM","AVIA_LTD.CO.IN","DELHI","PAYMENTS_AND_COMMISN","AVIVA_DEL"
"BAJAJ INSURANCE","KALPASAKI_ST,HYD","9875671203",4765490,"BAJAJ@GMAIL.COM","BAJAJ_LTD.CO.IN","TELANGANA","PRODUCTION_AND_SALES","BAJAJ_HYD"
"BHARTI INSURANCE","KAMAKSI_ST,VIZAG","9432167120",4012357,"BHARTI@GMAIL.COM","BHARTI_LTD.CO.IN","ANDHRA","OFFICE_ADMIN_DEPT","BHARTI_VIZAG"
"BIRLA SUN INSURANCE","MARRIPALEM","9343543621",4325432,"BIRLA@GMAIL.COM","BIRLASUN.CO.IN","VISAKHAPATNAM","REINSURANCE_DEPT","BIRLA_VSKP"
"CANARA HSBC","104 AREA,NAD","8789543621",5451232,"CANARA@GMAIL.COM","CANARA.CO.IN","GUNTUR","PAYMENTS_AND_COMMISN","CANARA_GUNTUR"
"DHFL INSURANCE","PURIAPARK,MAHARASTRA","8989761232",3124231,"DHFL@GMAIL.COM","DHFL_LTD.CO.IN","PUNE","PAYMENTS_AND_COMMISN","MAHARASTRA"
"DHFL PRAMERICA","MAMALLABURAM,ITI","9001543621",6563423,"DHFL@GMAIL.COM","DHFL.CO.IN","COIMBATORE","ADVT_DEPT","DHFL_COIMBATORE"
"DHFL PRAMERICA","MAMALLABURAM,ITI","9001543621",6563423,"DHFL@GMAIL.COM","DHFL.CO.IN","ONGOLE","AGENT_RECRUITMENT","DHFL_ONGOLE"
"DHFL PRAMERICA","MAMALLABURAM,ITI","9001543621",6563423,"DHFL@GMAIL.COM","DHFL.CO.IN","GUNTUR","HR_DEPT","DHFL_GUNTURU"
"EDELWEISS TOKIO","GOPALAPATNAM,BHPV","7895776556",423123,"EDELWEISS@GMAIL.COM","EDELWEISS.CO.IN","VISAKHAPATNAM","PRODUCTION_AND_SALES","ELWEISS_VSKP"
"EXIDE LIFE INSURANCE","WALTAIR_RD,VIZAG","8321544620",8153306,"EXIDE@GMAIL.COM","EXIDE_LTD.CO.IN","VIZAG","REINSURANCE_DEPT","EXIDE_VIZAG"
"FUTURE GENERALI","KULOOR_RD,MANGLOR","9321743621",7653236,"FUTUREG@GMAIL.COM","FUTURE_G_LTD.CO.IN","MANGLORE","PAYMENT_AND_COMMISN","FUTURE_G_MANGLORE"
"HDFC STANDARD","JEEDIMETLA,HYD","8621540671",9653536,"HDFC@GMAIL.COM","HDFC_LTD.CO.IN","VIZAG","HR_DEPT","HDFC_VIZAG"
"HDFC STANDARD","JEEDIMETLA,HYD","8621540671",9653536,"HDFC@GMAIL.COM","HDFC_LTD.CO.IN","ANANTPUR","MARKETING_DEPT","HDFC_ANANTPUR"
"HDFC STANDARD","JEEDIMETLA,HYD","8621540671",9653536,"HDFC@GMAIL.COM","HDFC_LTD.CO.IN","HYDERABAD","OFFICE_ADMIN_DEPT","HDFC_HYDERABAD"
"ICICI PRUDENTIAL","TOKICHOKI_RD,HYD","8621543621",8653306,"ICICI@GMAIL.COM","ICICI.CO.IN","HYDERABAD","RECRUITMENT_DEPT","ICICI_HYD"
"ICICI PRUDENTIAL","TOKICHOKI_RD,HYD","8621543621",8653306,"ICICI@GMAIL.COM","ICICI.CO.IN","BANGLORE","TECHNICAL_DEPT","ICICI_BANG"
"IDBI INSURANCE","BENCZ_RD,GUJARATH","9786596842",4534231,"IDBI@GMAIL.COM","IDBI_LTD.CO.IN","RAJKOT","OFFICE_ADMIN_DEPT","GUJARATH"
"INDIAFIRST INSUR","SHER_E_COLONY,PUNJAB","9241596842",3434232,"INDIA@GMAIL.COM","INDIA1ST_LTD.CO.IN","JALANDAR","PRODUCTION_AND_SALES","PUNJAB"
"KOTAK INSURANCE","AKSHAY_RD,KARNATAKA","7887234121",42315634,"KOTAK@GMAIL.COM","KOTAK_LTD.CO.IN","DHARWAD","ADVT_DEPT","KARNATAKA"
"KOTAK INSURANCE","AKSHAY_RD,KARNATAKA","7887234121",42315634,"KOTAK@GMAIL.COM","KOTAK_LTD.CO.IN","HUBLI","AGENT_RECRUITMENT","KARNATAKA"
