"T15_OFFICE_NAME","T15_OFFICE_LEADER","T15_CONTACT_INFORMATION","T15_ADDRESS","T15_ADMIN_COST","T15_STAFF","T15_DEPARTMENT_NAME","T15_COMPANY_NAME"
"AEGON_CHENNAI","KARTHICK","AEGON@GMAIL.COM","MAMALLAB_RD,CHENNAI",2000,"VIJAY KRISHNA","REINSURANCE_DEPT","AEGON INSURANCE"
"AVIVA_DEL","VINEETH","AVIVA@GMAIL.COM","MANGAL_CROSS,DELHI",1900,"JAGADESH REDDY","PAYMENTS_AND_COMMISN","AVIVA INSURANCE"
"BAJAJ_HYD","LAXMINARAYANA","BAJAJ@GMAIL.COM","KALPASAKI_ST,HYD",1600,"ANIL KUMAR","PRODUCTION_AND_SALES","BAJAJ INSURANCE"
"BHARTI_VIZAG","BHARATH","BHARTI@GMAIL.COM","KAMAKSI_ST,VIZAG",1700,"KARTHICK KUMAR ","OFFICE_ADMIN_DEPT","BHARTI INSURANCE"
"BIRLA_VSKP","KALYANBABU","BIRLA@GMAIL.COM","MARRIPALEM",2100,"LAXMI PRASANNA","REINSURANCE_DEPT","BIRLA SUN INSURANCE"
"CANARA_GUNTUR","JAGAN","CANARA@GMAIL.COM","104 AREA,NAD",1500,"BHARATH KUMAR","PAYMENTS_AND_COMMISN","CANARA HSBC"
"DHFL_MAHARASTRA","PAVAN","DHFL@GMAIL.COM","PURIAPARK,MAHARASTRA",1500,"SAI MOHAN","PAYMENTS_AND_COMMISN","DHFL INSURANCE"
"DHFL_ONGOLE","CHANDHAN","DHFL@GMAIL.COM","MAMALLABURAM,ITI",1700,"SPANDANA YADAV","AGENT_RECRUITMENT","DHFL PRAMERICA"
"ELWEISS_VSKP","TRINADH","EDELWEISS@GMAIL.COM","GOPALAPATNAM,BHPV",1900,"SAI SAMPATH","PRODUCTION_AND_SALES","EDELWEISS TOKIO"
"EXIDE_VIZAG","ADITYA","EXIDE@GMAIL.COM","WALTAIR_RD,VIZAG",1400,"DEEPIKA REDDY","REINSURANCE_DEPT","EXIDE LIFE INSURANCE"
"FUTURE_G_MANGLORE","LOKESH","FUTUREG@GMAIL.COM","KULOOR_RD,MANGLOR",1500,"MANEESH KUMAR","PAYMENTS_AND_COMMISN","FUTURE GENERALI"
"HDFC_HYDERABAD","AVINASH","HDFC@GMAIL.COM","JEEDIMETLA,HYD",1900,"JASWANTH REDDY","OFFICE_ADMIN_DEPT","HDFC STANDARD"
"ICICI_HYD","RAGHAVAN","ICICI@GMAIL.COM","TOKICHOKI_RD,HYD",1800,"SAI KEERTHI","RECRUITMENT_DEPT","ICICI PRUDENTIAL"
"IDBI_GUJARATH","GOUTHAM","IDBI@GMAIL.COM","BENCZ_RD,GUJARATH",2100,"RAGU PRASAD","OFFICE_ADMIN_DEPT","IDBI INSURANCE"
"INDIAFIRST_PUNJAB","DEEPAK","INDIA@GMAIL.COM","SHER_E_COLONY,PUNJAB",2000,"VAMSI KRISHNA","PRODUCTION_AND_SALES","INDIAFIRST INSUR"
"KOTAK_KARNATAKA","SAMPATH","KOTAK@GMAIL.COM","AKSHAY_RD,KARNATAKA",1700,"KALYANI KUMAR","AGENT_RECRUITMENT","KOTAK INSURANCE"
