"T15_POLICY_RENEWABLE_ID","T15_DATE_OF_RENEWAL","T15_TYPE_OF_RENEWAL","T15_AGREEMENT_ID","T15_APPLICATION_ID","T15_CUST_ID"
"4PR01","2004-02-14","ANNUAL","4AGR01","40BIS01",400
"4PR02","2006-04-07","SEMI-ANNUAL","4AGR02","40BIS02",401
"4PR03","2003-03-14","ANNUAL","4AGR03","40BIS03",402
"4PR04","2014-01-01","SEMI-ANNUAL","4AGR04","40BIS04",403
"4PR05","2017-05-10","ANNUAL","4AGR05","40BIS05",404
"4PR06","2007-12-14","ANNUAL","4AGR06","40BIS06",405
"4PR07","2017-04-09","SEMI-ANNUAL","4AGR07","40BIS07",406
"4PR08","2004-01-07","SEMI-ANNUAL","4AGR08","40BIS08",407
"4PR09","2007-06-30","ANNUAL","4AGR09","40BIS09",408
"4PR10","2013-02-14","SEMI-ANNUAL","4AGR10","40BIS10",409
"4PR11","2014-09-23","ANNUAL","4AGR11","40BIS11",410
"4PR12","2019-03-15","ANNUAL","4AGR12","40BIS12",411
"4PR13","2012-06-10","SEMI-ANNUAL","4AGR13","40BIS13",412
"4PR14","2020-02-15","SEMI-ANNUAL","4AGR14","40BIS14",413
"4PR15","2022-02-14","ANNUAL","4AGR15","40BIS15",414
"4PR16","2024-05-10","ANNUAL","4AGR16","40BIS16",415
